week,tv_spend,radio_spend,paid_search_spend,paid_social_spend,display_spend,direct_traffic,out_of_home_spend,sales,region,campaign_type
2020-01-05,11648.069306540976,1931.1377012580945,3272.6129681279035,5072.93964353071,1073.8187268334807,551.8213661128027,784.921883935985,54525.12137753602,West,Brand
2020-01-12,8748.617321101374,2109.239154942183,2842.952338846054,2991.5092809402195,947.5926617286557,3157.182439195812,1313.924197505564,54805.62626904876,North,Performance
2020-01-19,8357.786784178286,1778.0145383334147,4865.534629941353,2363.8923308818303,2322.9436048078746,4188.109282562676,2990.884004256411,48082.34877020268,East,Performance
2020-01-26,8357.852684137446,2583.313537121665,2513.019069849789,2428.6099771178983,878.4547336521113,1364.2505786647494,6316.024977090351,51827.07854291802,West,Brand
2020-02-02,17953.968216785946,1224.8550731551757,7213.784400334174,4204.055063834351,1208.514870653989,1499.218266638582,388.3565256459252,54497.98101004557,West,Brand
2020-02-09,13057.166108878717,1994.3806662936445,5577.735632867426,2346.9279675349007,3958.6424083428788,2947.8444050273065,830.2612070003989,59219.5185799711,South,Brand
2020-02-16,7448.361504137974,2702.336156256361,5014.921570026365,4727.398837261995,1239.5113657458346,3981.3264609570097,518.7694584865262,55292.7316068027,East,Performance
2020-02-23,11879.184777782313,2439.6820280543834,7066.350445950598,3232.789248265441,573.8133071292889,309.8691388422861,1577.6655511809754,55682.929843147234,West,Brand
2020-03-01,10418.246063279612,2149.826298006326,1380.725050054188,9116.72262581205,420.5646819329696,617.7192851332917,3478.329989773367,52113.86987471733,East,Performance
2020-03-08,3267.286576206782,2165.513757705762,2066.0554715299463,2239.311431954473,522.3684859440999,1190.574765119684,448.2532939599,57831.303509283105,North,Performance
2020-03-15,5605.660779012345,2852.2904380235377,5699.897896721411,5318.586267721996,3183.2879458624357,1299.7859776619302,1816.2194222057649,53654.18703194796,East,Performance
2020-03-22,10757.935330740114,6363.68518656182,2934.1771033294885,978.5396952059925,1117.9140337201588,2889.42414425247,3403.2199814758583,47420.061409931324,West,Performance
2020-03-29,17205.7013966589,1279.695755858858,3139.112944676252,1476.1762785790254,5643.217431234295,3995.1115550537365,1298.376136842003,59088.380821209146,South,Performance
2020-04-05,8391.456881952869,6463.336929616908,1894.614429558653,8340.015864220053,3636.479209370755,4195.793935802987,2130.6196810538695,55665.439444056836,West,Brand
2020-04-12,7173.367595525977,1242.0204920264448,2516.974838260918,4591.731919601707,4480.307525672936,301.1435589661895,4207.774535170969,49132.896759197116,East,Brand
2020-04-19,9820.823039129406,387.76637349249154,7292.298368599556,3587.975092804483,2827.727524764416,827.7540419812744,694.186613731682,49241.08968450078,East,Performance
2020-04-26,6971.358583558112,1517.5645164456448,5633.689776494226,10639.831236754875,2253.604029860634,1012.8370226423025,289.92175007054243,53353.00952839483,West,Brand
2020-05-03,8128.944763231527,2611.6716292105866,4838.533402879285,2390.073410399512,924.7681386923183,824.734961205319,2325.7646547774725,53691.879181023054,East,Performance
2020-05-10,9275.140023287291,5642.852049401536,3205.4013348823964,5310.080229622631,1596.6959973434336,2276.2574573023303,2372.7151271035577,52823.685285622196,North,Performance
2020-05-17,5468.759269161137,1161.7315646967886,4686.353924084754,5575.170913696321,2383.9044042089204,2476.0690971288873,1224.8165550798885,53076.0424835268,West,Brand
2020-05-24,13357.269729617585,2842.6628878550805,7604.393892090516,7184.721034157021,2730.3896889627376,1674.9715374567472,1031.4415697770173,60845.304692015576,South,Brand
2020-05-31,4989.93136986455,831.6384971822396,2973.936402511909,872.3395174728885,721.817486283021,1555.1734542109525,1882.2619054181578,56250.13459287578,West,Brand
2020-06-07,4690.624430748153,5531.869027179838,4320.091253397346,2377.842135451514,1417.6552166602469,1233.1672331925079,682.2209851847679,52216.40034250884,North,Brand
2020-06-14,10209.968916396541,4074.871217863877,9852.165587892685,3192.217179430369,1520.3493308271688,1354.390258903917,683.2653774232075,56742.90317021807,North,Brand
2020-06-21,12901.237654921233,1577.2311314391027,6234.88383471628,7107.804684575582,1483.6522245062918,4699.613581538719,2977.236793876463,47320.21372957124,North,Performance
2020-06-28,10093.479553656598,4435.844114545725,3229.967084871279,3485.1265988532873,791.6779073793044,2738.0584454933914,637.9937141462301,53642.46838772672,North,Brand
2020-07-05,8842.538959386018,1987.1703410092337,5989.049829143019,5583.2406554163745,4190.899732484159,1271.7855063610682,312.3977184683286,60811.794886839125,North,Brand
2020-07-12,8091.92289805979,4193.4056277342,1688.280397389514,796.6455168844652,1388.1927242712832,1531.9426675849525,1029.6458204165492,50031.8096775848,South,Brand
2020-07-19,7481.253558827103,2140.191008945328,4231.171563933486,1966.9089580207844,832.0314560649489,2314.0582226181223,1249.754388074127,47100.249414524325,East,Performance
2020-07-26,14686.13607152779,2195.2989858072547,5985.8391262773075,6222.371389167349,4247.928951673437,551.6433333484493,2570.899783646482,48930.35999119154,North,Brand
2020-08-02,10804.72356660843,1597.731850427031,5332.723900562141,2179.6016905112797,3638.3995133995004,1858.1001097159383,1108.987569000621,46198.516349320285,North,Performance
2020-08-09,7766.4885886688335,3054.856505640858,5957.428707347151,2530.2902119925116,1742.0476083511521,2633.542258695248,4685.860406659416,47851.68728177733,West,Brand
2020-08-16,6703.542281856033,2294.377418025397,6607.838098010194,7033.422934341343,417.50428954815726,2400.4734627986268,1957.1817400350442,50016.21731267491,South,Brand
2020-08-23,12233.356303704553,2878.436291390828,5541.701174424119,1192.392848360495,1185.439942763566,842.4839923186884,908.3975282945286,44533.039188884315,South,Performance
2020-08-30,14533.978782790156,691.2655486527105,5462.856709887241,1455.5658849112008,490.944312233515,986.7743609250834,2493.9970789805925,51736.77747150157,East,Brand
2020-09-06,13962.806910536463,4275.65017954255,4894.69157058703,713.4594138375064,2157.8239408888467,194.82023864670805,4630.934904156439,56273.90841541573,South,Brand
2020-09-13,6156.756402284565,4869.087231192532,2354.070233750623,7218.372960886647,1132.7588499625906,2830.6734244971863,2920.8493562147514,47201.57465312141,West,Performance
2020-09-20,8060.1109538176115,2288.0462922038964,7290.725042653874,5009.680673614754,1573.192139451868,6034.206097879107,420.0454481409115,59795.78243251055,West,Brand
2020-09-27,7412.363355526964,6116.719243219562,4309.733583897835,4923.834173339191,4040.3693964771046,739.2074746824167,1340.3306945634172,54242.730342121235,East,Performance
2020-10-04,8553.954942259115,5346.2955873228,6159.093163434809,1922.2494953186758,1079.5149489820947,3530.3215870895037,2212.0887779926707,57034.64108006719,West,Performance
2020-10-11,13302.372174525928,3092.3956157459456,6927.3353925581605,659.0962765679433,2104.654780275482,5688.724444306831,2836.9599286905864,49009.40339774914,North,Performance
2020-10-18,16504.75862070022,4467.329311997942,3317.5507010640817,475.6699762258942,2474.096344566547,1135.2344412217662,1585.2886095166139,56036.136951435765,North,Performance
2020-10-25,10984.588341010518,3836.3039476081553,3475.2145884073157,6252.886374715668,3128.351414229587,1533.5954951409924,1414.6181293346901,46410.735026281516,West,Performance
2020-11-01,6814.344159202459,561.8629307592556,3727.1255733726807,3758.7187429307087,1503.8619433181095,2016.1731135672078,5746.968618314582,55926.08357253646,East,Brand
2020-11-08,9179.401246833575,1800.381609606722,7962.239140835709,4276.455935935774,1408.62291823675,2346.3031671877475,2950.9277128598483,52831.23701382063,South,Brand
2020-11-15,17856.783403000103,3214.7276807910735,2647.8598008492577,3085.0159334518107,1388.1973652105733,2096.8285589926477,2499.560143474001,54777.490570147595,East,Brand
2020-11-22,9714.493729758979,5046.630013026308,8632.718192755528,1305.7411162249086,1987.6093800812648,1210.4566126143336,1149.290973201997,45965.893011460736,South,Performance
2020-11-29,8100.160866570929,790.5957892825467,4867.2782543257035,1994.9127873080715,3553.4135714089193,2604.785869671771,672.7812229206297,46973.208628559245,West,Performance
2020-12-06,8416.04931150625,592.1038566595294,5042.603169851495,1032.680734864001,1348.7845998749483,1233.590455808162,2530.9712435586316,54261.46658113828,West,Performance
2020-12-13,10962.817206972742,2061.58582600887,6777.13534131267,914.0235269005965,206.2488075373739,2202.4411988291586,3176.8829695021695,46978.76767967499,North,Performance
2020-12-20,6257.894903693535,411.91609055948993,4591.795405307452,4733.290943698714,2631.893447102555,1629.1732551804214,1825.3979379586021,53725.665004178176,South,Brand
2020-12-27,7329.003675718377,2019.0125265872093,7330.461771548756,525.2817006362244,1666.538872285534,265.66801361472983,2956.426249056631,44523.02849283197,East,Brand
2021-01-03,13873.26579167821,2648.987699170513,3315.18379954938,1039.250439637843,2160.6227384997733,3884.2668804284685,3009.0641911875664,56117.286568376505,West,Performance
2021-01-10,10826.97032091601,1125.9812845529596,8497.911404977063,2089.742020811373,505.41786607857426,1009.878721927153,3322.814318925927,45618.47854442713,East,Performance
2021-01-17,9759.070354041358,2052.492880703954,3453.649881821361,2709.661141476377,1135.6005893034965,4145.240160614106,412.2284051986225,54380.71799407281,North,Brand
2021-01-24,14175.037675246975,3640.2157151757892,8655.810155038616,704.3193077033292,2511.207207984625,3435.5710122062296,1371.6210877431838,55376.19303941581,South,Performance
2021-01-31,6616.837856643948,1512.8819658547095,3503.385082485085,3453.662273609968,658.8475389187055,1971.7979061100787,2640.197076709873,47833.37554314197,South,Performance
2021-02-07,7988.039786990155,1256.1240585763744,3783.7499727110053,2959.1597376230616,2101.8984696357675,2434.0157384901745,1904.9289212542517,54344.71828981061,West,Performance
2021-02-14,10672.067663155087,1996.5420094964134,2472.47977990739,6181.325805499887,1565.3320688027466,2646.1100777825545,3015.571077405352,53105.04747864804,South,Brand
2021-02-21,10507.264297438822,1046.5610854666186,2861.0351288112684,2744.3851505956422,982.7807711914945,1424.6642102742242,2498.4887837245847,48681.433797514714,West,Brand
2021-02-28,4456.525044620529,5867.020591431242,4320.780444665913,3706.5795705179808,930.1810292578529,1478.9022547340508,160.47873224986492,46305.30692301841,North,Performance
2021-03-07,7631.34730471939,2179.733845191683,4960.425309399615,1372.1083865280034,796.8162701699376,2556.380899552142,3874.4439225919,41681.14101895277,South,Brand
2021-03-14,8653.697606613247,1343.5637673515525,7071.49263769597,1423.4809950482927,1661.1977378419606,1642.6302506095235,1233.9457401286097,53263.47014873326,West,Performance
2021-03-21,11190.132505088151,2425.2632630339212,3926.3801277728435,782.0497863791185,1779.177785489456,1213.7245619575822,860.7833980506099,43546.69027759755,East,Performance
2021-03-28,10490.885468691831,1989.9275583922795,2291.535889837884,1383.9375655868646,1266.6566941392437,854.7544230941811,3788.0586272125192,51760.86649224787,West,Brand
2021-04-04,9015.37086447091,1857.4847740516382,5338.5035648924795,1971.2258625066697,762.6481052834123,2249.3343487023203,2856.541008069082,50243.69602407796,South,Performance
2021-04-11,3255.5170061462654,1512.6289785053496,4793.66763121338,5778.266749539698,2066.9886266973804,981.4410509267267,4149.146779883387,54780.76806453879,North,Performance
2021-04-18,9219.248316809955,1466.0411447674558,5631.342015117056,1206.1753231914743,2659.14240887191,3046.3197940093264,2229.9219910676593,50124.772223940214,South,Brand
2021-04-25,9595.983526160184,702.9937396573644,3091.2497735345937,9379.687088168048,2286.545183542873,3224.8021603254383,1357.3367061449903,50312.91788465618,South,Performance
2021-05-02,24533.28526450957,4463.572764596138,3289.1699728352546,3939.0952178319576,4581.1108209026725,2420.6843937169033,2044.5902146771143,56354.68491120278,West,Performance
2021-05-09,8526.663402091153,2978.666488647742,3091.8905893949473,3389.9824535654625,1427.405782401749,2788.9529304683238,725.6304297021204,53171.21597658659,East,Performance
2021-05-16,10697.727508806294,2566.3297130585593,7736.672347553404,2585.8038920297236,3360.5219732171713,2425.80889310553,505.20543737275636,53514.50474834352,South,Brand
2021-05-23,15192.76812033171,1970.5479562694072,8537.73193638813,2225.9999407888968,1046.8728993567522,2928.2539402866473,1077.0468697209883,54562.58344064049,East,Performance
2021-05-30,12973.568942162237,1112.672240632881,3214.510096113147,1568.3641287240282,937.7501759334276,2842.416406647692,4987.742548317089,44035.01727710104,West,Brand
2021-06-06,16800.64065068942,1289.9411529198894,3249.1595301132506,674.9623552387252,1723.2265937065822,2162.801661863562,1172.8546063602073,55478.550172150004,East,Performance
2021-06-13,4492.304313233159,762.5233880840022,6020.492748056641,1244.299322056411,3778.1279765579516,3465.1249720480023,320.5195681053617,54411.42588988043,West,Performance
2021-06-20,5674.510124423973,1395.2312910934584,8999.820946628819,7206.998300313439,1330.7771293918552,1464.8873360453758,1620.735266681691,46802.533544043436,North,Performance
2021-06-27,7094.215652245998,1009.3821235590393,9951.118263600612,3771.6287269198306,505.1248221915851,878.10349907872,1159.739337537481,50465.17681698926,East,Performance
